id,name,population,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,pm2021,pm2022
PCN,Pitcairn Islands,22.0,1.6,1.6,2.1,1.9,1.5,1.6,1.5,1.6,1.7,1.9,2.0,2.0,2.5
POL,Poland,38077964.0,27.09,24.62,22.49,21.62,21.99,20.42,19.97,20.55,20.11,16.68,15.55,17.73,14.09
PRT,Portugal,10135371.0,6.8,7.29,6.36,6.78,5.49,6.82,6.45,6.69,6.53,5.55,6.15,6.38,5.67
PRI,Puerto Rico,3059504.0,3.51,2.33,2.45,2.26,2.35,2.17,2.45,2.87,2.73,2.86,2.71,3.0,2.21
QAT,Qatar,2472833.0,33.4,31.25,33.97,30.31,32.51,31.73,32.96,35.44,33.93,35.64,30.94,32.84,39.16
REU,Réunion,857120.0,3.38,3.43,3.09,3.22,2.73,3.12,3.26,3.16,3.34,3.4,2.72,2.88,2.74
COG,Republic of the Congo,5587326.0,33.04,29.83,29.77,33.05,30.78,31.74,30.7,26.82,29.6,30.09,31.48,30.97,31.94
ROU,Romania,18517938.0,16.12,20.97,19.07,16.05,15.58,16.37,16.11,18.12,16.14,14.23,14.29,14.12,13.67
RUS,Russia,140832572.0,15.82,11.99,13.13,11.85,12.13,10.94,11.83,11.69,10.54,10.94,9.9,10.75,9.3
RWA,Rwanda,13164574.0,37.42,37.79,37.11,37.79,33.56,35.92,36.18,30.66,29.64,37.86,36.01,34.47,33.37
STP,São Tomé and Príncipe,201897.0,9.87,10.65,11.47,11.87,8.67,12.61,11.49,9.68,9.18,9.55,10.45,9.88,10.28
SHN,Saint Helena Ascension and Tris,7633.0,2.86,3.16,2.58,2.63,2.15,2.49,2.4,2.61,2.1,2.85,2.25,2.4,2.75
KNA,Saint Kitts and Nevis,51256.0,3.67,2.71,2.96,2.29,2.45,2.34,2.6,2.83,2.63,2.82,2.66,2.92,2.36
LCA,Saint Lucia,160935.0,2.99,2.23,2.25,1.87,1.69,1.8,2.16,2.26,2.06,2.16,2.16,2.34,2.02
SPM,Saint Pierre and Miquelon,5039.0,3.7,3.86,3.26,4.58,4.08,4.28,3.2,4.06,3.48,3.1,4.08,4.28,3.38
VCT,Saint Vincent and the Grenadines,91724.0,3.07,2.23,2.43,1.98,1.84,1.98,2.24,2.44,2.15,2.25,2.25,2.36,2.15
BLM,Saint-Barthélemy,9677.0,3.41,2.26,2.81,2.06,2.11,1.96,2.26,2.46,2.16,2.21,2.31,2.41,1.96
MAF,Saint-Martin,30591.0,3.1,2.0,2.5,1.8,1.9,1.9,2.1,2.3,2.0,2.1,2.1,2.2,1.8
WSM,Samoa,184409.0,1.32,1.22,1.49,1.39,1.51,1.87,1.57,1.68,1.69,1.48,1.38,1.23,1.69
SMR,San Marino,35134.0,13.71,15.38,13.67,12.91,9.41,14.16,10.97,12.29,10.65,9.58,10.83,9.84,13.51
SAU,Saudi Arabia,33983136.0,24.05,25.26,25.51,22.25,24.71,25.53,25.01,27.47,24.92,25.08,23.14,25.15,27.5
SEN,Senegal,17736968.0,5.79,5.24,5.78,5.22,5.03,5.82,4.99,5.28,4.79,5.61,5.74,5.78,5.67
SRB,Serbia,6770743.0,18.67,26.52,23.21,21.04,18.32,20.95,20.79,21.07,20.24,17.97,18.2,17.21,16.95
SYC,Seychelles,84686.0,4.96,5.41,5.17,5.15,4.9,4.24,5.71,5.83,5.19,5.66,3.94,4.63,4.96
SLE,Sierra Leone,8600687.0,12.01,11.78,10.48,11.89,11.47,11.05,11.36,10.68,10.69,11.2,10.24,9.82,9.87
SGP,Singapore,5897812.0,12.91,15.93,17.99,24.19,19.04,25.34,14.49,13.84,15.07,18.04,11.73,13.31,13.89
SXM,Sint Maarten,38882.0,3.4,2.3,2.8,2.1,2.1,2.1,2.4,2.6,2.3,2.4,2.4,2.5,2.0
SVK,Slovakia,5435410.0,20.8,22.28,19.21,18.76,16.91,17.54,16.33,17.29,16.2,13.54,13.23,14.22,12.1
SVN,Slovenia,2068883.0,17.88,20.32,16.52,15.78,13.41,16.37,14.99,15.52,15.08,11.77,12.67,11.89,12.32
SLB,Solomon Islands,561270.0,6.27,5.71,6.16,7.86,7.58,7.18,7.32,8.37,7.52,7.08,6.58,5.78,7.02
SOM,Somalia,12319239.0,9.41,10.16,9.05,8.25,8.43,8.74,8.64,8.48,9.39,9.04,7.26,8.77,8.9
ZAF,South Africa,57489367.0,27.01,23.21,22.98,22.51,21.17,23.33,21.07,22.99,22.72,22.74,22.33,21.82,23.26
SGS,South Georgia and the South Sand,,,,,,,,,,,,,,
